[2025-09-04T19:22:15Z] Preprocess OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (342666 filas)
[2025-09-04T19:22:32Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:23:57Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:32:47Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:33:24Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:45:28Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:48:35Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=35)
[2025-09-04T19:51:37Z] Preprocess OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (342666 filas)
[2025-09-04T19:51:47Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=35)
[2025-09-04T19:53:49Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=35)
[2025-09-04T19:55:20Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=35)
[2025-09-04T19:57:05Z] Calc OK -> 2023__Nacional__PASO__Diputado Nacional__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=35)
