[2025-09-04T16:32:23Z] Preprocess OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (342666 filas)
[2025-09-04T16:35:18Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=None, seats=0)
[2025-09-04T16:45:13Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=None, seats=0)
[2025-09-04T16:46:43Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=None, seats=0)
[2025-09-04T17:00:12Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T17:10:25Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T17:26:12Z] Preprocess OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (342666 filas)
[2025-09-04T17:26:19Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T17:37:00Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T17:52:26Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:24:00Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:49:52Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:51:20Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:54:24Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:56:52Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:58:05Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T18:59:18Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:00:44Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
[2025-09-04T19:07:40Z] Calc OK -> 2023__Nacional__PASO__diputados__a17e656e31f23e3db8abed2a8ccd6392a19787073adeb3f41de31b0c311ae68d.json (rows=342666, groups=4, method=d-hont, seats=0)
